,name,isactual,public,genre,famous,books
12,Tammy Wood,TRUE,adult,Contemporary,TRUE,"[Book(Susurros en el tiempo), Book(El latido de las estrellas), Book(El eco de los recuerdos), Book(La melodia de los corazones), Book(El susurro de los secretos), Book(El encanto de lo prohibido), Book(Las lagrimas del ayer), Book(El baile de las emociones), Book(La promesa en la distancia), Book(El eco de los suenos), Book(El amanecer de los amantes), Book(El encanto de la intriga), Book(El perfume de la tentacion), Book(El beso del perdon), Book(El reflejo de la melancolia), Book(La promesa del amor eterno), Book(El susurro de la tentacion), Book(El susurro de la ilusion), Book(La promesa de la eternidad), Book(El eco de la esperanza perdida), Book(La sombra del olvido), Book(El reflejo de la tentacion), Book(El susurro de la guerra interior), Book(El fuego de la traicion), Book(El susurro de la venganza), Book(La promesa del pasado), Book(El eco de la soledad), Book(La sombra del desamor), Book(El fuego de la ilusion), Book(El amanecer de los secretos), Book(El susurro de la esperanza), Book(La promesa de la libertad), Book(El eco de los suenos perdidos), Book(El abrazo del corazon herido), Book(La melodia del destino), Book(La sombra del deseo prohibido), Book(El abrazo de la soledad), Book(El encanto de la redencion), Book(El amanecer de la ilusion), Book(El perfume de la intriga), Book(El abrazo del destino perdido), Book(El susurro del amor perdido), Book(El latido de la traicion), Book(La promesa del corazon herido), Book(El perfume de la esperanza perdida), Book(La sombra de los secretos ocultos), Book(El abrazo de la tentacion prohibida), Book(El reflejo de la venganza), Book(El susurro de la pasion desenfrenada), Book(El latido de la ilusion), Book(El amanecer de la soledad eterna), Book(El beso del deseo oculto), Book(La promesa de la redencion), Book(La melodia del destino perdido), Book(El eco de la soledad eterna), Book(La sombra de la traicion), Book(El abrazo de la esperanza rota), Book(El susurro de la pasion prohibida), Book(El latido del deseo oculto), Book(El amanecer del amor eterno), Book(La promesa del pasado olvidado), Book(El reflejo del corazon herido), Book(Miradas de Cristal), Book(El eco de los silencios), Book(Entre sombras y verdades), Book(Reflejos de una vida), Book(El refugio de los corazones rotos), Book(A traves de tus ojos), Book(El laberinto de los secretos), Book(Las palabras que nunca dijimos), Book(El peso de las decisiones), Book(El suspiro del viento), Book(El arte de ser imperfecto), Book(El faro en la tormenta), Book(La huella de los suenos), Book(Los secretos del pasado), Book(El puente entre dos mundos), Book(La melodia de la tristeza), Book(El reflejo de la ausencia), Book(El susurro de la noche), Book(El eco de la melancolia), Book(La esencia de la vida), Book(El refugio de los suenos), Book(El laberinto de los suenos), Book(Las piezas del rompecabezas), Book(La melodia de la oscuridad), Book(El abismo de los secretos), Book(La fragilidad de la felicidad), Book(El eco de la nostalgia), Book(El refugio de la soledad), Book(La melodia de la vida), Book(El susurro del perdon), Book(El baile de los recuerdos), Book(El susurro del alma), Book(La sombra del destino), Book(Los hilos del pasado), Book(La tristeza de los recuerdos), Book(Fragmentos del Caos), Book(La ciudad olvidada), Book(El laberinto de sombras), Book(El fin del mundo en tus ojos), Book(Mascaras de acero), Book(La rebelion de los susurros), Book(El jardin de cristal), Book(El tiempo detenido), Book(La oscuridad eterna), Book(El espejo quebrado), Book(El eco del vacio), Book(El invierno perpetuo), Book(El reloj sin tiempo), Book(El lamento de las estrellas), Book(Las ruinas del exodo), Book(La mirada del abismo), Book(El susurro de la desolacion), Book(El eco de la destruccion), Book(El ultimo aliento del sol), Book(El reflejo perdido), Book(El fin de los dias), Book(El susurro del tiempo), Book(La ciudad de los espejos rotos), Book(El abismo de la esperanza), Book(La tormenta eterna), Book(El lamento de los caidos), Book(Las ruinas del olvido), Book(La mirada del vacio), Book(El despertar de la destruccion), Book(El susurro de la desesperanza), Book(La ciudad en llamas), Book(El reflejo olvidado), Book(El fin de todo), Book(El grito del vacio), Book(El jardin de las pesadillas), Book(La oscuridad que nos consume), Book(El abismo del olvido), Book(La tormenta interminable), Book(El despertar de la devastacion), Book(El corazon de la penumbra), Book(El laberinto de los susurros), Book(La melodia de la oscuridad eterna), Book(El fin de la existencia), Book(El susurro del infinito), Book(El grito del olvido), Book(El jardin de las almas perdidas), Book(El abismo del recuerdo), Book(El lamento de los desolados), Book(El despertar de la destruccion total), Book(El corazon de la oscuridad infinita), Book(El eco de la muerte eterea), Book(La ciudad en cenizas), Book(El ultimo aliento de la eternidad perdida), Book(El reflejo olvidado en el abismo), Book(El fin del universo), Book(La ciudad de las almas rotas), Book(El jardin de las pesadillas eternas), Book(El eco de la locura eterna), Book(La oscuridad que nos devora), Book(El laberinto de la imaginacion perdida), Book(Las ruinas del pasado olvidado), Book(El susurro de la desesperacion eterna), Book(El laberinto de los secretos olvidados), Book(El reflejo olvidado en el abismo del tiempo), Book(La oscuridad que nos devora eternamente), Book(El rio de los recuerdos perdidos eternamente)]"
13,Anna Madsen,FALSE,adult,Contemporary,TRUE,"[Book(Bajo el cielo de seda), Book(El destino tejido en hilos), Book(El fuego de la pasion), Book(El amanecer de los suenos), Book(La promesa del atardecer), Book(El perfume del amor), Book(El abrazo de la nostalgia), Book(El reflejo de la esperanza), Book(El susurro de la guerra), Book(El latido del deseo), Book(El beso de la traicion), Book(La melodia del corazon), Book(El fuego de la venganza), Book(El latido de la libertad), Book(El suspiro de la pasion), Book(El baile de las sombras), Book(La promesa del recuerdo), Book(La melodia de los amantes), Book(El eco de la esperanza), Book(La sombra del deseo), Book(El abrazo del olvido), Book(El susurro de la redencion), Book(El latido de la guerra), Book(El encanto de lo inesperado), Book(El fuego de la esperanza), Book(El amanecer de la pasion), Book(El susurro de la traicion), Book(El beso del destino), Book(La melodia de la nostalgia), Book(El eco de los secretos), Book(El perfume de la seduccion), Book(La sombra del misterio), Book(El reflejo de la soledad), Book(El latido de la venganza), Book(El beso de la libertad), Book(El encanto de la pasion prohibida), Book(El fuego de la intriga), Book(El amanecer de los recuerdos), Book(El baile de los corazones rotos), Book(La melodia del deseo), Book(El beso de la melancolia), Book(El latido de la redencion), Book(El encanto de la pasion perdida), Book(El amanecer de la esperanza), Book(El beso de la intriga), Book(La melodia de los suenos rotos), Book(El abrazo del recuerdo), Book(El reflejo de la tristeza), Book(El latido del destino), Book(El encanto de lo inalcanzable), Book(La melodia de la melancolia), Book(El reflejo del amor), Book(El susurro de la tentacion prohibida), Book(El encanto del olvido), Book(El fuego de la pasion eterna), Book(El amanecer de la traicion), Book(El susurro de la promesa rota), Book(El beso de la esperanza perdida), Book(El eco de la intriga), Book(El perfume del pasado), Book(El reflejo del desamor), Book(El susurro del recuerdo), Book(El latido de la tristeza), Book(El fuego de la pasion desenfrenada), Book(El beso de la tentacion), Book(La promesa de la venganza), Book(El eco de la pasion prohibida), Book(El reflejo de la soledad eterna), Book(El encanto de la esperanza rota), Book(El fuego de la melancolia), Book(El amanecer de la pasion prohibida), Book(El susurro del deseo oculto), Book(El beso de la redencion), Book(La melodia del amor eterno), Book(El eco de la traicion), Book(El encanto del pasado olvidado), Book(El fuego del destino perdido), Book(El susurro del amor prohibido), Book(El perfume del amor perdido), Book(El fuego del corazon herido), Book(El perfume del amor prohibido), Book(La sombra del deseo oculto), Book(El abrazo de la redencion), Book(El encanto del destino perdido), Book(El fuego de la soledad eterna), Book(El amanecer del amor prohibido), Book(El latido del tiempo), Book(El susurro de los recuerdos), Book(El rompecabezas del destino), Book(La danza de los suenos), Book(Caminos entrelazados), Book(Los hilos invisibles), Book(La melodia de los suenos), Book(La fragilidad del alma), Book(El abismo de la memoria), Book(El rastro de las lagrimas), Book(La tristeza de las palabras), Book(El suspiro de la vida), Book(El susurro del pasado), Book(Las huellas del corazon), Book(El peso de los recuerdos), Book(El eco de la pasion), Book(Las sombras del corazon), Book(La eternidad en un suspiro), Book(El eco del silencio), Book(El eco de la libertad), Book(El rastro de la felicidad), Book(El eco de la tristeza), Book(El eco de la ausencia), Book(El peso del olvido), Book(El refugio de la esperanza), Book(El eco de la vida), Book(Suenos rotos), Book(Amanecer de cenizas), Book(La ciudad de los suspiros), Book(Las cenizas del paraiso), Book(La tormenta inmortal), Book(El abismo de la mente), Book(El rio de las almas perdidas), Book(El despertar del caos), Book(El corazon de la oscuridad), Book(El laberinto de los suenos rotos), Book(La melodia del silencio), Book(El grito de la nada), Book(El jardin de las sombras), Book(La oscuridad que nos rodea), Book(El ultimo susurro del viento), Book(El reloj sin fin), Book(El laberinto de la realidad), Book(El rio de los suenos perdidos), Book(El corazon de las sombras), Book(El eco de la muerte), Book(El laberinto de los suspiros), Book(El ultimo aliento del tiempo), Book(El susurro de la eternidad), Book(El ultimo susurro del silencio), Book(El laberinto de la fantasia), Book(El lamento de los olvidados), Book(Las ruinas del recuerdo), Book(El rio de los deseos perdidos), Book(La mirada de la nada), Book(El eco de la muerte eterna), Book(El ultimo aliento de la eternidad), Book(El reflejo perdido en el tiempo), Book(El ultimo susurro del olvido), Book(La tormenta sin fin), Book(El laberinto de la imaginacion), Book(Las ruinas del pasado), Book(El rio de los recuerdos perdidos), Book(La mirada del vacio eterno), Book(El susurro de la desesperacion), Book(El susurro del infinito oscuro), Book(El grito del olvido eterno), Book(El abismo del recuerdo perdido), Book(El ultimo susurro del olvido eterno), Book(El eco de la soledad infinita), Book(El lamento de los desolados eternos), Book(La ciudad en cenizas eternas), Book(El fin del cosmos), Book(La ciudad de las almas rotas eternamente)]"
14,Ewen Laurent,FALSE,teenager,Fantasy,TRUE,"[Book(Cantos de Drakonia), Book(Sombras de Aetherium), Book(Hechizos de Quimera Invertida), Book(Misticos Arcanos de Silmar), Book(Destellos de Vortex Sempiterno), Book(Susurros de Titanio Encantado), Book(Versos de Cristal Oscuro)]"
15,Brooklyn Lewis,TRUE,teenager,Fantasy,TRUE,"[Book(Crepusculo Astral en Meridia), Book(Sabiduria de los Cronofagos), Book(Soledad del Pegaso Herido)]"
16,Hayley Lewis,FALSE,teenager,Adventure,TRUE,"[Book(Travesia por Dunas Carmesi), Book(Huracanes del Desierto Escondido), Book(Expedicion al Valle Intransitable), Book(Navegantes del Rio Inverso), Book(Descubrimiento del Oasis Espejismo)]"
17,Homero Arevalo,TRUE,teenager,Adventure,TRUE,"[Book(Ascenso a la Montana Resplandeciente), Book(Caminos en la Selva de Zafiro), Book(Rincones Ocultos de Atlantida), Book(Vuelo sobre el Canon Profundo), Book(Salto entre Islas Flotantes)]"
18,Oscar Roberts,FALSE,teenager,Romance,TRUE,"[Book(Besos bajo Luna de Amatista), Book(Encantos del Lago de las Perlas), Book(Corazones entre Ruinas Silenciosas), Book(Romance a Orillas del Rio de Plata), Book(Destinos Entrelazados en la Torre Iridescente)]"
19,Erling Stangeland,TRUE,teenager,Romance,TRUE,"[Book(Suspiros en el Crepusculo de Coral), Book(Amor en los Campos de Lavanda), Book(Pasion en el Palacio de Nacar), Book(Serenata de Estrellas Fugaces), Book(Brisa de Amor en la Costa Esmeralda)]"
20,Alvin Harper,FALSE,teenager,Mystery,TRUE,"[Book(Sombras sobre la Mansion de Obsidiana), Book(Susurros en la Biblioteca Abandonada), Book(El Reloj que Toco Medianoche), Book(Secreto en el Jardin de los Suspiros), Book(Intriga en el Callejon sin Salida), Book(Retrato de una Dama Desvanecida)]"
21,Theodor Marchand,TRUE,teenager,Mystery,TRUE,"[Book(Ecos de un Pasado Oscuro), Book(Enigma de la Habitacion Sellada), Book(Codex de las Puertas Entrelazadas), Book(Espejo de las Almas Perdidas)]"
22,Pascual Peralta,FALSE,teenager,Dystopia,TRUE,"[Book(Desierto de Acero y Neon), Book(Refugio en la Ciudad de Cenizas), Book(Exilio en la Isla Tecnologica), Book(El Ultimo Bosque bajo el Dome)]"
23,Josefino Nunes,TRUE,teenager,Dystopia,TRUE,"[Book(Laberinto de Pantallas Silenciosas), Book(Anarquia en el Enclave de Cristal), Book(Rebelion en la Metropolis de Hielo), Book(Rincones Oscuros de Utopia), Book(Retorno a la Zona Contaminada), Book(Coloso de las Tierras Yermas)]"
24,Cameron Carpenter,TRUE,teenager,Social,TRUE,"[Book(Voces de la Barriada Olvidada), Book(Luchas en la Escuela de Espejos), Book(Resistencia en el Parque de los Suenos), Book(Vidas Paralelas en la Torre de Babel), Book(Sociedad del Mosaico Roto), Book(Revolucion en la Fabrica de Ideas), Book(Diario de un Vendedor de Sonrisas), Book(Mujeres en la Ciudad Invisible)]"
25,Marie Thomsen,FALSE,teenager,Social,TRUE,"[Book(Historias desde el Tren Subterraneo), Book(Silencio en la Plaza de Oro)]"
26,Leonard Mendoza,TRUE,children,,False,"[Book(Carrera por el Valle Saltarin), Book(Natacion en la Laguna Risuena), Book(Baloncesto entre Nubes Algodonosas), Book(Patinaje sobre el Lago de Miel), Book(Golf en el Bosque Susurrante), Book(Tenis en la Isla Deslumbrante), Book(Ritmos del Desierto Colorido), Book(Sinfonia de la Selva Luminosa), Book(Rock en el Volcan Vibrante), Book(Rap en la Calle del Murmullo), Book(Blues en la Cueva Misteriosa), Book(Reggae en la Playa Chispeante), Book(Dia de Mercado en Pueblo Feliz), Book(Paseo por el Parque Chisporroteante), Book(Desayuno en la Cocina Magica), Book(Exploracion del Bosque Risueno), Book(Expedicion al Reino Escondido), Book(Odisea en el Mar de Burbujas), Book(Vuelo en el Globo Sorridente), Book(Travesia de la Montana Saltarina), Book(Costumbres del Valle Encantado), Book(Folklore de la Isla Riente), Book(Cuentos del Pais Mosaico), Book(Celebraciones del Desierto Florido), Book(Historias de la Region Cascabel), Book(Brujeria en la Escuela Chispeante), Book(Pocimas en la Cocina Chirriante), Book(Conjuros en el Castillo Nuboso), Book(Magia en la Playa de las Estrellas), Book(Alquimia en la Cueva de Cristales), Book(Misterios en el Lago Resplandeciente)]"
27,Tommy Hale,FALSE,children,,False,"[Book(Futbol en la Ciudad Regordeta), Book(Beisbol en el Campo Arcoiris), Book(Acrobacias en la Plaza Giratoria), Book(Rugby con los Monstruos Amistosos), Book(Melodias desde el Monte Cantarin), Book(Cancion del Oceano Sonriente), Book(Jazz en la Noche Estrellada), Book(Pop entre los Arboles Bailarines), Book(Recreo en la Escuela del Sol), Book(Cumpleanos en la Casa Revoloteante), Book(Siesta en la Habitacion Nubosa), Book(Juegos en el Jardin Secretito), Book(Estudio en la Biblioteca Voladora), Book(Cena en el Comedor Girasol), Book(Noche en la Terraza Encantada), Book(Viaje al Planeta Juguete), Book(Safari por el Zoo Fabuloso), Book(Aventura en la Ciudad de Dulces), Book(Periplo por la Isla Piruleta), Book(Ruta por el Valle de los Dibujos), Book(Fiesta en la Aldea Arcoiris), Book(Tradiciones del Pueblo Caramelo), Book(Mitologia de la Ciudad Sonambula), Book(Leyendas del Barrio Aventura), Book(Rituales de la Montana Cantora), Book(Hechizos del Jardin Susurrante), Book(Encantos de la Luna Cascaron), Book(Sortilegios del Bosque Titilante), Book(Adivinacion en la Torre Susurro)]"
28,Shchastibog Filevich,FALSE,baby,,TRUE,"[Book(Saltitos y Carreritas), Book(Pelota Sonriente), Book(Burbujas Acuaticas Juguetonas), Book(Estrellitas Patinadoras), Book(Tamborcito Feliz), Book(Pajaritos Cantarines), Book(Despertar con el Sol Brillante), Book(Jueguito de la Casa), Book(Noche de Luna y Estrellitas), Book(Bano de Burbujas Magicas), Book(Vuelo en Globo de Colores), Book(La Casita en el Arbol), Book(Bailando con los Sonidos del Mundo)]"
29,Faraj Moolya,TRUE,baby,,TRUE,"[Book(Aros Coloreados en el Aire), Book(Melodia de los Animalitos), Book(Cancion de la Risa), Book(Danza de las Mariposas), Book(Hora de Comer: Â¡Frutas y Risas!), Book(Dia de Parque y Juegos), Book(Paseo en Trenecito Encantado), Book(Aventuras de Peluches), Book(Varita de Estrellitas), Book(El Espejo de las Risas), Book(El Jardin que Habla), Book(Nube Suavecita y Magica), Book(El Sombrero que Canta), Book(Descubriendo el Mundo a Traves de Colores), Book(Risas y Sonrisas de Todas las Culturas), Book(Cuentos de la Abuela en el Mundo Entero), Book(Viaje Magico por las Maravillas del Planeta)]"
